objectid,filename,title,creator,date,subject,location,latitude,longitude,source,url,type,format,language
coll001,rus_1925_lebedev_akula.jpg,Азбука,Lebedev, Vladimir Vasilʹevich, 1891-1967,1925,sharks;automobiles,Saint Petersburg (Russia),59.93573771,30.32570667,Cotsen Children's Library,https://catalog.princeton.edu/catalog/9948449523506421,Image;StillImage,image/jpeg,rus
coll002,fre_1880_pille_ange.jpg,Alphabet,Pille;Prunaire,1880,angels;Arabs;abbots;archers;eagles,Paris (France),48.86776353,2.33524294,Cotsen Children's Library,https://catalog.princeton.edu/catalog/9948398693506421,Image;StillImage,image/jpeg,fre
coll003,rus_1919_mayakovsky_entente.jpg,Sovetskaia azbuka,"Mayakovsky, Vladimir, 1893-1930",1919,"Triple Entente, 1907;antisemitism",Moscow (Russia),55.758809,37.62907785,Cotsen Children's Library,https://catalog.princeton.edu/catalog/9947588123506421,Image;StillImage,image/jpeg,rus
coll004,fre_1850_adjutant.jpg,Alphabet de l'armée française,,1850,adjutants;artillerymen,Paris (France),48.86380328,2.365240783,Cotsen Children's Library,https://catalog.princeton.edu/catalog/9947200393506421,Image;StillImage,image/jpeg,fre
coll005,ger_1920_koppen_ape.jpg,Tier-Alphabet,"Köppen, Hete",1920,apes,Wilhelmshorst (Germany),52.33099491,13.06699806,Cotsen Children's Library,https://catalog.princeton.edu/catalog/9947701413506421,Image;StillImage,image/jpeg,ger
coll006,eng_1853_cundall_ann.jpg,Maja's alphabet,"Cundall, Joseph, 1818-1895",1853,Ann,Philadelphia (Pa.),39.95278055,-75.14862617,Cotsen Children's Library,https://catalog.princeton.edu/catalog/9947200373506421,Image;StillImage,image/jpeg,eng
coll007,eng_1910_holbrook_arrow.jpg,Hiawatha alphabet,"Holbrook, Florence, 1860-1932;Pohl, H. D.",1910,bow and arrow,Chicago (Ill.),41.8798614,-87.63339294,Cotsen Children's Library,https://catalog.princeton.edu/catalog/9957368093506421,Image;StillImage,image/jpeg,eng
coll008,eng_1900_nanny.jpg,Bowden's A.B.C. book of India,,1900,nannies--India,Mumbai (India),18.93830677,72.83211213,Cotsen Children's Library,https://catalog.princeton.edu/catalog/9947695733506421,Image;StillImage,image/jpeg,eng
coll009,jap_1946_apple.jpg,ABC karuta,"Takei, Takeo, 1894-1983",1946,apples,Tokyo (Japan),35.70193899,139.6780171,Cotsen Children's Library,https://catalog.princeton.edu/catalog/9999577233506421,Image;StillImage,image/jpeg,eng
coll010,dut_1920_knip_globe.jpg,Fotografisch abc boek,"Knip, Jan",1920,globes,Bussum (Netherlands),52.27795394,5.16383415,Cotsen Children's Library,https://dpul.princeton.edu/cotsen/catalog/0r967d22x,Image;StillImage,image/jpeg,dut
coll011,rus_1904_benoit_arab.jpg,Azbuka v kartinakh,"Benois, Alexandre, 1870-1960",1904,arabs,Saint Petersburg (Russia),59.91531769,30.28973755,Cotsen Children's Library,https://catalog.princeton.edu/catalog/99103166243506421,Image;StillImage,image/jpeg,rus
coll012,eng_1907_symington_anthony.jpg,An alphabet of saints,"Symington, Lindsay D.",1907,"Anthony, of Padua, Saint, 1195-1231",London (England),51.49608877,-0.14161507,Cotsen Children's Library,https://catalog.princeton.edu/catalog/9948434173506421,Image;StillImage,image/jpeg,eng
coll013,fre_1941_rojankovsky_donkey.jpg,ABC / jeux du Père Castor ; dessins de Rojan.,"Rojankovsky, Feodor, 1891-1970",1941,donkeys,Paris (France),48.87601449,2.329429624,Cotsen Children's Library,https://catalog.princeton.edu/catalog/9948443083506421,Image;StillImage,image/jpeg,fre
